Name,Address,Grade,District,AGA Division,PS/MC/UC
SANPAOLO GARDENS RESTURANT,"CHARLES WILLIAM MW,WEWNNAPPUWA",A,Puttalam,Wennappuwa Pradeshiya Sabha,Wennappuwa Divisional Secretariat
FUNKY DE BAR,"NO:538/2,538/1,WEWALA,GALLE ROAD,HIKKADUWA",B,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat
PEKING PALACE,"NO:262/A,NAWALA ROAD,NAWALA",A,Colombo,Sri Jayawardenapura-Kotte,Sri jayawadanapura
CLIQUE RESTAURANT,"505,UNION PLACE,COLOMBO 02",A,Colombo,Colombo,Colombo Divisional Secretariat
AMARAVATHI RESTAURANT,"NO 02,MILE POST AVENUE,COLOMBO 02",A,Colombo,Colombo,Colombo Divisional Secretariat
UPALIS BY NAWALOKA,"NO 65,C.W.W KANNANGARA MW,COLOMBO 07",A,Colombo,Colombo,Colombo Divisional Secretariat
IBIZA RESTAURANT,"387 D 2/1 ,GALLE ROAD ,RATHMALANA",B,Colombo,Colombo,Ratmalana Divisional Secretariat
ROYAL CHINES RESTAURANT,"NO:12/2,KOSWATTA,RATHMALE RD,KEKENADURA",B,Matara,Matara,Matara Divisional Secretariat
WHIGHTE AND CO CAFE,"24,ALOE AVENUE ,COLOMBO 03",A,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat
VICEROY II,"58,HAVELOCK ROAD,COLOMBO 05",B,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat
RAILWAY CATERING SERVICE,RAILWAY STATION FORT.,B,Colombo,Colombo,Colombo Divisional Secretariat
TRANQUIL ULTRA LOUNGE,"NO:85B,DHARMAPALA MAWATHA,COLOMBO 7",A,Colombo,Colombo,Colombo Divisional Secretariat
FLAMINGO HOUSE,"NO 56/5,58 A,HORTON PLACE,COLOMBO 07",A,Colombo,Colombo,Colombo Divisional Secretariat
TUSKER RESTAURANT,"83, ETHUKALA ROAD, KATUWA",A,Gampaha,Negombo,Negombo Divisional Secretariat
WHICH WAY WEST-CAFE-PUB-LOUNGE,"UNIT L/FF,FIRST FLOOR,THE LIBERTY ARCADE,NO.282 R.A. DE MEL MAWATHA, COLOMBO 03",A,Colombo,Colombo,Colombo Divisional Secretariat
ORO 1889,"SHOP 5,LEVEZ 2,282 R.A.DE MEL MAWATHA,COLOMBO 03",B,Colombo,Colombo,Colombo Divisional Secretariat
LEMONGRASS (PALAWATTA),"241,PANIPITYA ROAD,PALAWATTA",A,Colombo,Kaduwela Pradeshiya Sabha,kaduwela Divisional Secretariat
NOMADS & CO,"NO:66/3,WARD PLACE,COLOMBO 7",A,Colombo,Colombo,Colombo Divisional Secretariat
WINE CONNECTION,"NO 30 (SHOP NO 03), INDEPENDENCE SQUARE, COLOMBO 07.",A,Colombo,Colombo,Colombo Divisional Secretariat
KAEMASUTRA RESTURANT,"NO 30,INDEPENDENCE SQUARE,COLOMBO 07",A,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat
PREGO,"NO 02E,PORUTHOTA ROAD,NEGAMBO",A,Gampaha,Negombo,Negombo Divisional Secretariat
KING TASTE RESTURANT,"NO 04,BANDARANAYAKA MW,KATUBEDDA,MORATUWA",A,Colombo,Moratuwa,Moratuwa Divisional Secretariat
CAFE CEYLON RESTAURANT,"MATARA ROAD,KABALANA,AHANGAMA",A,Galle,Habaraduwa,Habaraduwa Divisional Secretariat
BLUE SKY RESTAURANT,"NO:109,DEHIWALA RD,MAHARAGAMA",A,Colombo,Mahara Pradeshiya Sabha,Maharagama Divisional Secretariat
MIYULA RESTAURANT,"KANDY COLOMBO ROAD,PAHALA KADUGANNAWA,HINGULA",B,Kegalle,Kegalle,Kegalle Divisional Secretariat
169 RESTURANT,"NEW ROAD,NEAR ECONOMIC CENTER,DAMBULLA",B,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat
SENWIN RESTAURANT,"NO 266A, MANAMPITA, THALGASWALA",A,Galle,Nivitigala Pradeshiya Sabha,Niyagama Divisional Secretariat
TALPE BEACH,"NO 1042, MATARA ROAD, TALPE, GALLE",A,Galle,Habaraduwa,Habaraduwa Divisional Secretariat
KANDOORI RESTAURANT (COLOMBO),"17,CHARLIMONT ROAD,COLOMBO 06",A,Colombo,Colombo,Colombo Divisional Secretariat
THE SUSHIBAR SAMURAI,"ETHUKALE,PORUTOTA ROAD,NEGOMBO",A,Gampaha,Negombo,Negombo Divisional Secretariat
TSUKIJI UOICHI,"WP 07,NO 30, ARCADE INDEPENDANCE SQUARE,COLOMBO 07",A,Colombo,Colombo,Colombo Divisional Secretariat
YUZHENGE RESTAURANT,"51C,ALEXANDRA PLACE,COLOMBO 07",A,Colombo,Colombo,Colombo Divisional Secretariat
SINGHARAJA,"120,GALLE ROAD KALUEAMODARA,ALUTHGAMA",A,Kalutara,Beruwala Pradeshiya Sabha,Beruwala Divisional Secretariat
CITY RESTAURANT,"MANATKUDIYIRUPPU,MULLAITIVU",B,Mullaitivu,Mulatiyana Pradeshiya Sabha,Mulatiyana Divisional Secretariat
TAPHOUSE BY RNR,"SHOP NO- GF 07,DUTCH HOSPITAL SHOPPING PRECINT,GALLE FORT,GALLE",A,Galle,Galle,Galle Divisional Secretariat
RASARA RESTAURANT,"NO 35 POTUVIL ROAD,DOMBAGAHAWELA,MONARAGALA",B,Moneragala,Siyambalanduwa,Siyambalanduwa Divisional Secretariat
TANG DYNASTY CHINESE RESTAURANT,"NO 75,DICKMANS ROAD,COLOMBO 05",A,Colombo,Colombo,Colombo Divisional Secretariat
DAFFODIL HOTEL,"KOYIL KUDIYIRUPPU, MULLATIVU.",A,Mullaitivu,Maritimepattu Divisional Secretariat,Mullaitivu Divisional Secretariat
KAMLO SEA FOOD RESTAURANT,"62,PORUTHOTA ROAD,ETTUKALA,NEGOMBO",B,Gampaha,Negombo,Negombo Divisional Secretariat
ROSANDA RESTAURANT,"NO.107/4 KURUNEGALA ROAD,KOTADENIYAWA",B,Gampaha,Divulapitiya Pradeshiya Sabha,Divulapitiya Divisional Secretariat
HOTEL PARAMA,"NO.370,DELGAHAWATTA,MEETIYAGODA.",B,Galle,Ambalangoda,Ambalangoda Divisional Secretariat
WANAPETHA RESTAURANT,"129/1, HORANA ROAD, KESBEWA.",B,Colombo,Kesbewa,Kesbewa Divisional Secretariat
THE WHITE HOUSE RESTAURANT.,"NO 31 GALLE ROAD, AMBALANGODA.",A,Galle,Ambalangoda,Ambalangoda Divisional Secretariat
ANKARA TURKISH RESTAURANT,25 MILAGIRIYA AVENUE COLOMBO 04,A,Colombo,Colombo,Colombo Divisional Secretariat
LA ROZA RESTAURANT,"400/1, AVISSAWELLA ROAD, IHALA BOMIRIYA, KADUWELA.",B,Colombo,Kaduwela Pradeshiya Sabha,kaduwela Divisional Secretariat
THE GRAND TOURIST HOLIDAY RESORT,"4/B/2,STAGE 1,LAKE ROAD,HARISCHANDRA MAWATHA,ANURADHAPURA.",B,Anuradhapura,Anuradhapura,Anuradhapura East
DKN CAFE,"475/C,SRI JAYAWARDENAPURA MAWATHA,WELIKADA,RAJAGIRIYA.",A,Colombo,Sri Jayawardenapura-Kotte,Sri jayawadanapura
GAMMANAYA ECO TOURISM RESTAURANT.,"MURAPOLA JUNCTION,SINHARAJA ROAD,DENIYAYA.",B,Matara,Matara,Kotapola Divisional Secretariat
GRAND BEIJING SEAFOOD CHINESE RESTAURANT,"NO.62 A,DHARMAPALA MAWATHA,COLOMBO 03",A,Colombo,Colombo,Colombo Divisional Secretariat
GRAND LAKE HOTEL,"NO.04, LOYIDS AVENUE,BATTICALOA.",B,Batticaloa,Batticaloa,Batticaloa Divisional Secretariat
SRI SIAM AUTHENTIC THAI RESTAURANT,"68,W.A SILVA MAWATHA, WELLAWATTE,COLOMBO 06",B,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat
10 10 KRUA THAI,"NO.446,PANNIPITIYA ROAD, PELAWATTA.",A,Colombo,Colombo,Colombo Divisional Secretariat
THE CLUB,"NO.3B2, SHOPPING COMPLEX, GREENS ROAD, NEGOMBO.",B,Gampaha,Negombo,Negombo Divisional Secretariat
CAFE FRANCAIS BY POURCEL,"NO.48, GROUND FLOOR, PARK STREET, COLOMBO 02.",A,Colombo,Colombo,Colombo Divisional Secretariat
PEDLARS INN CAFE,"NO.92,PEDLARS STREET,FORT,GALLE.",A,Galle,Galle,Galle Divisional Secretariat
SILK ROAD CHINESE RESTAURANT,"NO.7A, SIR EARNEST DE SILVA MAWATHA, COLOMBO 07.",A,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat
CLEMENTS,"NO.21,STATION ROAD,WATTALA.",A,Gampaha,Wattala Pradeshiya Sabha,Wattala Divisional Secretariat
RED ORCHIDS,"NO.35,CASTLE LANE,COLOMBO 04",A,Colombo,Colombo,Colombo Divisional Secretariat
PANACEA RESTAURANT,"NO.179/5,HIGH LEVEL ROAD,PANNIPITIYA",B,Colombo,Maharagama,Maharagama Divisional Secretariat
MONTE ZITA RESTAURANT,"39A,HORTON PLACE, COLOMBO 07",A,Colombo,MC,Thimbirigasyaya Divisional Secretariat
SEOUL,"NO.28/1,HORTON PLACE,COLOMBO 07",A,Colombo,Colombo,Colombo Divisional Secretariat
ANARGAYA RESTAURENT,"BATADUWA,BATAPOLA",B,Galle,Ambalangoda,Ambalangoda Divisional Secretariat
GOLDEN RIVER HOLIDAY RESORT,"GORAKAGAHA JUNCTION,BORALLA ROAD,WENNAPPUWA.",B,Puttalam,Wennappuwa Pradeshiya Sabha,Wennappuwa Divisional Secretariat
XIANG YUN CHINESE RESTAURANT,"NO:935,PERADENIYA ROAD,KANDY",A,Kandy,Kandy,Kandy Divisional Secretariat
OFF THE HOOK,"NO:180,PARK ROAD,COLOMBO 05",A,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat
ENJOLA RESTAURANT,"ALUGOLLA ROOD, KATUKENDA, BADALGAMA",B,Gampaha,Divulapitiya Pradeshiya Sabha,Divulapitiya Divisional Secretariat
DIO JEY RESTAURENT,"NO.145/1A, GIRIDARA, KAPUGODA",B,Gampaha,Dompe Pradeshiya Sabha,Dompe Divisional Secretariat
WAAHALKADA RESTAURANT,"NO:322,KANDY ROAD,AMBEPUSSA,WARAKAPOLA",B,Kegalle,WARAKAPOLA,Warakapola Divisional Secretariat
MISS SUGAR,"NO:246,LEWIS PLACE,NEGOMBO,SRILANKA",A,Gampaha,Negombo,Negombo Divisional Secretariat
GARTONS ARK RESTAURANT,"09/47, 06TH LANE, PAGODA ROAD, NUGEGODA.",A,Colombo,Kotte Muncipal Council,Kotte Divisional Secretariat
TURF RESTAURANT,"NO. 08, GRAND STAND RACE COURSE, REID AVENUE, COLOMBO 07",A,Colombo,Colombo,Colombo Divisional Secretariat
SHANDONG THE CHINESE KITCHEN,"NO. 1092, SRI JAYAWARDENAPURA MAWATHA, WELIKADA, RAJAGIRIYA",A,Colombo,Kotte Muncipal Council,Kotte Divisional Secretariat
BERLIN SKY LOUNGE,"NO. 101/11, HUNUPITIYA LAKE ROAD, COLOMBO 02",A,Colombo,Colombo,Colombo Divisional Secretariat
THE TUNA AND THE CRAB,"GF 01-OLD DUTCH HOSPITAL,GALEE FORT, GALLE",A,Galle,Galle,Galle Divisional Secretariat
KANDY KITCHEN,"NO 483,WILLIAM GOPALLAWA MAWATHA,KANDY",A,Kandy,Kandy,Kandy Divisional Secretariat
PST RESTAURANT,"NO 48/A, PARK STREET,COLOMBO 02",A,Colombo,Colombo,Colombo Divisional Secretariat
BLUE SKY RESTAURANT,"NO 85/2/1 OLCOTT MAWATHA, COLOMBO 11",B,Colombo,Colombo,Colombo Divisional Secretariat
